species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;gg_ssp245_10_2090;0.95;0.55;0.75;0.6579262499999999;0.45347625
clssm_mcrp;gg_ssp245_10_2090;0.15;0.175;0.16249999999999998;0.12772833333333333;0.08859541666666666
clssm_mcrp;gg_ssp245_10_2090;0.025;0.025;0.025;0.020161041666666667;0.013962708333333332
clssm_mcrp;gg_ssp245_10_2090;0.175;0.1;0.1375;0.12084104166666665;0.08328145833333334
clssm_mcrp;gg_ssp245_10_2090;0.175;0.225;0.2;0.1546514583333333;0.10737729166666667
clssm_mcrp;gg_ssp245_10_2090;0.075;0.05;0.0625;0.053721041666666663;0.03706895833333334
clssm_mcrp;gg_ssp245_10_2090;0.825;0.7;0.7625;0.6315039583333333;0.43667354166666666
clssm_mcrp;gg_ssp245_10_2090;0.725;0.525;0.625;0.5305735416666667;0.3663652083333333
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0.4;0.3;0.35;0.29552833333333334;0.20412666666666668
clssm_mcrp;gg_ssp245_10_2090;0.25;0.15;0.2;0.17456208333333334;0.12035041666666668
clssm_mcrp;gg_ssp245_10_2090;0.825;0.55;0.6875;0.5909314583333333;0.40775854166666664
clssm_mcrp;gg_ssp245_10_2090;0.55;0.2;0.375;0.34887375000000004;0.23971125000000004
clssm_mcrp;gg_ssp245_10_2090;0.275;0.025;0.15000000000000002;0.154150625;0.10539812500000001
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.425;0.375;0.4;0.32921354166666666;0.22772770833333333
clssm_mcrp;gg_ssp245_10_2090;0.625;0.275;0.45;0.409356875;0.28159937500000004
clssm_mcrp;gg_ssp245_10_2090;0.25;0.125;0.1875;0.16779999999999998;0.11553125000000002
clssm_mcrp;gg_ssp245_10_2090;0.275;0.275;0.275;0.22177145833333334;0.15358979166666667
clssm_mcrp;gg_ssp245_10_2090;0.125;0.025;0.075;0.073756875;0.050536875
clssm_mcrp;gg_ssp245_10_2090;0.375;0.425;0.4;0.31593979166666664;0.21907895833333335
clssm_mcrp;gg_ssp245_10_2090;0.875;0.75;0.8125;0.6718260416666667;0.46459895833333337
clssm_mcrp;gg_ssp245_10_2090;0.95;0.55;0.75;0.6579262499999999;0.45347625
clssm_mcrp;gg_ssp245_10_2090;1;0.725;0.8625;0.7320587500000001;0.5054975
clssm_mcrp;gg_ssp245_10_2090;0.225;0.05;0.1375;0.13411479166666665;0.09193020833333333
clssm_mcrp;gg_ssp245_10_2090;0.125;0.1;0.1125;0.094043125;0.064994375
clssm_mcrp;gg_ssp245_10_2090;0.125;0.1;0.1125;0.094043125;0.064994375
clssm_mcrp;gg_ssp245_10_2090;0.1;0.075;0.0875;0.07388208333333333;0.05103166666666667
clssm_mcrp;gg_ssp245_10_2090;0.425;0.3;0.3625;0.30892729166666666;0.21327020833333332
clssm_mcrp;gg_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;gg_ssp245_10_2090;0.875;0.9;0.8875;0.7123985416666666;0.49351395833333345
clssm_mcrp;gg_ssp245_10_2090;0.45;0.275;0.36250000000000004;0.3155641666666667;0.21759458333333334
clssm_mcrp;gg_ssp245_10_2090;0.075;0.025;0.05;0.046958958333333335;0.032249791666666666
clssm_mcrp;gg_ssp245_10_2090;0.725;0.225;0.475;0.4494285416666666;0.3085352083333333
clssm_mcrp;gg_ssp245_10_2090;0.025;0.025;0.025;0.020161041666666667;0.013962708333333332
clssm_mcrp;gg_ssp245_10_2090;0.475;0.15;0.3125;0.2951527083333333;0.20264229166666667
clssm_mcrp;gg_ssp245_10_2090;0.125;0.025;0.075;0.073756875;0.050536875
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.4;0.65;0.525;0.39019750000000003;0.27159500000000003
clssm_mcrp;gg_ssp245_10_2090;0.7;0.475;0.5874999999999999;0.5036504166666665;0.3475833333333333
clssm_mcrp;gg_ssp245_10_2090;0.3;0;0.15;0.1607875;0.1097225
clssm_mcrp;gg_ssp245_10_2090;0.15;0;0.075;0.08039375;0.05486125
clssm_mcrp;gg_ssp245_10_2090;0.55;0.625;0.5875;0.4638291666666667;0.32163708333333335
clssm_mcrp;gg_ssp245_10_2090;0.15;0.125;0.1375;0.11420416666666666;0.07895708333333333
clssm_mcrp;gg_ssp245_10_2090;0.425;0.625;0.525;0.396834375;0.275919375
clssm_mcrp;gg_ssp245_10_2090;0.625;0.525;0.575;0.47697770833333336;0.3297910416666667
clssm_mcrp;gg_ssp245_10_2090;0.75;0.45;0.6;0.52368625;0.36105125000000005
clssm_mcrp;gg_ssp245_10_2090;1;0.9;0.95;0.7793933333333333;0.5392316666666667
clssm_mcrp;gg_ssp245_10_2090;1;0.9;0.95;0.7793933333333333;0.5392316666666667
clssm_mcrp;gg_ssp245_10_2090;0.55;0.325;0.4375;0.38268416666666666;0.26380708333333336
clssm_mcrp;gg_ssp245_10_2090;0.15;0.1;0.125;0.10744208333333333;0.07413791666666668
clssm_mcrp;gg_ssp245_10_2090;0.45;0.55;0.5;0.3899470833333334;0.2706054166666667
clssm_mcrp;gg_ssp245_10_2090;0.5;0.425;0.4625;0.3829345833333333;0.2647966666666666
clssm_mcrp;gg_ssp245_10_2090;0.425;0.25;0.3375;0.295403125;0.20363187500000002
clssm_mcrp;gg_ssp245_10_2090;0.85;0.65;0.75;0.63137875;0.43617875
clssm_mcrp;gg_ssp245_10_2090;0.05;0.025;0.037500000000000006;0.03356;0.023106250000000005
clssm_mcrp;gg_ssp245_10_2090;0.8;0.2;0.5;0.48286333333333337;0.3311466666666667
clssm_mcrp;gg_ssp245_10_2090;0.625;0.15;0.3875;0.3755464583333334;0.25750354166666667
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0.175;0.075;0.125;0.11407895833333333;0.07846229166666667
clssm_mcrp;gg_ssp245_10_2090;0.925;0.7;0.8125;0.6850997916666666;0.47324770833333335
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.45;0.125;0.2875;0.2749916666666667;0.18867958333333334
clssm_mcrp;gg_ssp245_10_2090;0.9;0.475;0.6875;0.6108420833333333;0.4207316666666667
clssm_mcrp;gg_ssp245_10_2090;0.375;0.125;0.25;0.2347947916666667;0.16124895833333333
clssm_mcrp;gg_ssp245_10_2090;0.15;0;0.075;0.08039375;0.05486125
clssm_mcrp;gg_ssp245_10_2090;0.575;0.8;0.6875;0.5245627083333333;0.36451479166666667
clssm_mcrp;gg_ssp245_10_2090;0.775;1;0.8875;0.6858510416666667;0.4762164583333333
clssm_mcrp;gg_ssp245_10_2090;0.75;0.975;0.8625;0.66569;0.4622537500000001
clssm_mcrp;gg_ssp245_10_2090;1;1;1;0.8064416666666667;0.5585083333333333
clssm_mcrp;gg_ssp245_10_2090;0.775;0.75;0.7625;0.6182302083333333;0.4280247916666667
clssm_mcrp;gg_ssp245_10_2090;0.75;0.6;0.675;0.56425875;0.38996625
clssm_mcrp;gg_ssp245_10_2090;1;0.9;0.95;0.7793933333333333;0.5392316666666667
clssm_mcrp;gg_ssp245_10_2090;0.925;0.7;0.8125;0.6850997916666666;0.47324770833333335
clssm_mcrp;gg_ssp245_10_2090;0.525;0.3;0.4125;0.36252312500000006;0.249844375
clssm_mcrp;gg_ssp245_10_2090;0.9;0.925;0.9125000000000001;0.7325595833333333;0.5074766666666668
clssm_mcrp;gg_ssp245_10_2090;0.875;0.75;0.8125;0.6718260416666667;0.46459895833333337
clssm_mcrp;gg_ssp245_10_2090;0.15;0.075;0.11249999999999999;0.10067999999999999;0.06931875
clssm_mcrp;gg_ssp245_10_2090;0.925;0.75;0.8375;0.6986239583333335;0.4828860416666667
clssm_mcrp;gg_ssp245_10_2090;0.9;0.55;0.7250000000000001;0.6311283333333334;0.4351891666666667
clssm_mcrp;gg_ssp245_10_2090;0.9;0.35;0.625;0.5770316666666667;0.3966358333333333
clssm_mcrp;gg_ssp245_10_2090;0.075;0.025;0.05;0.046958958333333335;0.032249791666666666
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.75;0.475;0.6125;0.5304483333333333;0.36587041666666664
clssm_mcrp;gg_ssp245_10_2090;0.625;0.475;0.55;0.4634535416666667;0.3201527083333333
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.15;0.475;0.3125;0.20887333333333333;0.14642541666666667
clssm_mcrp;gg_ssp245_10_2090;0.925;0.725;0.825;0.691861875;0.47806687500000006
clssm_mcrp;gg_ssp245_10_2090;0.725;0.375;0.55;0.49000104166666664;0.33745020833333333
clssm_mcrp;gg_ssp245_10_2090;0.25;0.2;0.225;0.18808625;0.12998875
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;gg_ssp245_10_2090;0.55;0.975;0.7625;0.5584983333333333;0.3891054166666667
clssm_mcrp;gg_ssp245_10_2090;0.5;0.825;0.6625;0.49112791666666666;0.3419033333333333
clssm_mcrp;gg_ssp245_10_2090;0.1;0.1;0.1;0.08064416666666667;0.05585083333333333
clssm_mcrp;gg_ssp245_10_2090;0.575;0.825;0.7;0.5313247916666667;0.36933395833333327
clssm_mcrp;gg_ssp245_10_2090;0.65;0.7;0.675;0.53771125;0.37266875000000005
clssm_mcrp;gg_ssp245_10_2090;0.95;0.875;0.9125;0.7458333333333332;0.5161254166666667
clssm_mcrp;gg_ssp245_10_2090;0.575;0.325;0.44999999999999996;0.3960831249999999;0.272950625
clssm_mcrp;gg_ssp245_10_2090;1;0.925;0.9625;0.7861554166666668;0.5440508333333334
clssm_mcrp;gg_ssp245_10_2090;1;0.925;0.9625;0.7861554166666668;0.5440508333333334
clssm_mcrp;gg_ssp245_10_2090;0.225;0.075;0.15;0.14087687499999998;0.09674937500000001
clssm_mcrp;gg_ssp245_10_2090;0.975;0.9;0.9375;0.765994375;0.5300881250000001
clssm_mcrp;gg_ssp245_10_2090;0.85;0.625;0.7375;0.6246166666666667;0.4313595833333333
clssm_mcrp;gg_ssp245_10_2090;0.7;0.325;0.5125;0.4630779166666666;0.31866833333333333
clssm_mcrp;gg_ssp245_10_2090;0.625;0.25;0.4375;0.40259479166666673;0.27678020833333333
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.075;0;0.0375;0.040196875;0.027430625
clssm_mcrp;gg_ssp245_10_2090;0.1;0.025;0.0625;0.06035791666666667;0.04139333333333334
clssm_mcrp;gg_ssp245_10_2090;0.4;0.175;0.2875;0.26171791666666666;0.18003083333333336
clssm_mcrp;gg_ssp245_10_2090;0.825;0.75;0.7875;0.645028125;0.44631187499999997
clssm_mcrp;gg_ssp245_10_2090;0.125;0.025;0.075;0.073756875;0.050536875
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;gg_ssp245_10_2090;0.375;0.35;0.3625;0.29565354166666663;0.20462145833333334
clssm_mcrp;gg_ssp245_10_2090;0.925;0.625;0.775;0.6648135416666666;0.45879020833333334
clssm_mcrp;gg_ssp245_10_2090;0.175;0;0.0875;0.09379270833333332;0.06400479166666666
clssm_mcrp;gg_ssp245_10_2090;0.4;0.6;0.5;0.37667333333333336;0.26195666666666667
clssm_mcrp;gg_ssp245_10_2090;0.775;1;0.8875;0.6858510416666667;0.4762164583333333
clssm_mcrp;gg_ssp245_10_2090;0.525;0.925;0.7250000000000001;0.5315752083333334;0.37032354166666676
clssm_mcrp;gg_ssp245_10_2090;0.625;0.95;0.7875;0.5919331250000001;0.411716875
clssm_mcrp;gg_ssp245_10_2090;0.7;0.925;0.8125;0.6253679166666667;0.43432833333333337
