especie;cenario;mlp;glmnet;brt;consenso
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.225;0;0;0.075
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.475;0.075;0;0.18333333333333332
species;presente;0.45;0.075;0;0.17500000000000002
species;presente;0.475;0.1;0;0.19166666666666665
species;presente;0.4;0.25;0;0.21666666666666667
species;presente;0.375;0.35;0;0.24166666666666667
species;presente;0.35;0.5;0;0.2833333333333333
species;presente;0.4;0.575;0;0.325
species;presente;0.375;0.525;0;0.3
species;presente;0;0.075;0;0.024999999999999998
species;presente;0.025;0.075;0;0.03333333333333333
species;presente;0.3;0.4;0;0.2333333333333333
species;presente;0.4;0.7;0;0.3666666666666667
species;presente;0.35;0.925;0;0.425
species;presente;0.375;0.95;0;0.44166666666666665
species;presente;0.3;0.9;0;0.39999999999999997
species;presente;0.25;0.75;0;0.3333333333333333
species;presente;0.025;0.05;0;0.025000000000000005
species;presente;0.025;0.025;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0.025;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
