species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;uk_ssp245_10_2090;0.35;0.075;0.2125;0.20787166666666668;0.14246708333333333
clssm_mcrp;uk_ssp245_10_2090;0.725;0.1;0.4125;0.41561812499999995;0.284439375
clssm_mcrp;uk_ssp245_10_2090;0.9;0.1;0.5;0.5094108333333334;0.3484441666666667
clssm_mcrp;uk_ssp245_10_2090;0.975;0.1;0.5375;0.5496077083333333;0.37587479166666665
clssm_mcrp;uk_ssp245_10_2090;1;0.125;0.5625;0.56976875;0.38983750000000006
clssm_mcrp;uk_ssp245_10_2090;1;0.175;0.5875;0.5832929166666666;0.3994758333333333
clssm_mcrp;uk_ssp245_10_2090;0.75;0.1;0.425;0.4290170833333333;0.29358291666666664
clssm_mcrp;uk_ssp245_10_2090;0.25;0.075;0.1625;0.1542758333333333;0.10589291666666667
clssm_mcrp;uk_ssp245_10_2090;0.6;0.1;0.35;0.3486233333333333;0.23872166666666664
clssm_mcrp;uk_ssp245_10_2090;0.65;0.1;0.375;0.37542125000000004;0.25700875
clssm_mcrp;uk_ssp245_10_2090;0.475;0.075;0.27499999999999997;0.2748664583333333;0.18818479166666666
clssm_mcrp;uk_ssp245_10_2090;0.85;0.075;0.46249999999999997;0.47585083333333333;0.3253379166666666
clssm_mcrp;uk_ssp245_10_2090;0.075;0.025;0.05;0.046958958333333335;0.032249791666666666
clssm_mcrp;uk_ssp245_10_2090;0.8;0.05;0.42500000000000004;0.4422908333333333;0.3022316666666667
clssm_mcrp;uk_ssp245_10_2090;0.625;0.05;0.3375;0.34849812500000005;0.23822687499999998
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.1;0.025;0.0625;0.06035791666666667;0.04139333333333334
clssm_mcrp;uk_ssp245_10_2090;0.85;0.075;0.46249999999999997;0.47585083333333333;0.3253379166666666
clssm_mcrp;uk_ssp245_10_2090;0.05;0;0.025;0.026797916666666668;0.018287083333333332
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.475;0.075;0.27499999999999997;0.2748664583333333;0.18818479166666666
clssm_mcrp;uk_ssp245_10_2090;0.9;0.225;0.5625;0.54322125;0.37254000000000004
