"","freq_mean","pa_mean","pa_sums"
"435",0.70625,0.5,0.5
"436",0.79375,0.5,0.5
"437",0.80625,0.5,0.5
"438",0.79375,0.5,0.5
"439",0.78125,0.5,0.5
"440",0.76875,0.5,0.5
"441",0.7375,0.5,0.5
"442",0.60625,0.5,0.5
"443",0.715625,0.5,0.5
"444",0.70625,0.5,0.5
"445",0.778125,0.5,0.5
"446",0.775,0.5,0.5
"447",0.765625,0.5,0.5
"448",0.740625,0.5,0.5
"449",0.765625,0.5,0.5
"450",0.8,0.5,0.5
"451",0.796875,0.5,0.5
"452",0.346875,0,0
"453",0.590625,0.25,0.25
"454",0.0125,0,0
"455",0.009375,0,0
"456",0.00625,0,0
"457",0.190625,0,0
"458",0.40625,0,0
"459",0.675,0.5,0.5
"460",0.725,0.5,0.5
"461",0.75,0.5,0.5
"462",0.75625,0.5,0.5
"463",0.7125,0.5,0.5
"464",0.596875,0.25,0.25
"465",0.8,0.5,0.5
"466",0.790625,0.5,0.5
"467",0.75625,0.5,0.5
"468",0.71875,0.5,0.5
"469",0.646875,0.5,0.5
"470",0.715625,0.5,0.5
"471",0.784375,0.5,0.5
"472",0.784375,0.5,0.5
"473",0.715625,0.5,0.5
"474",0.715625,0.5,0.5
"475",0.765625,0.5,0.5
"476",0.665625,0.5,0.5
"477",0.765625,0.5,0.5
"478",0.78125,0.5,0.5
"479",0.75,0.5,0.5
"480",0.696875,0.25,0.25
"481",0.709375,0.5,0.5
"482",0.0125,0,0
"483",0.009375,0,0
"484",0.00625,0,0
"485",0.00625,0,0
"486",0.1125,0,0
"487",0.24375,0,0
"488",0.6875,0.5,0.5
"489",0.75,0.5,0.5
"490",0.6375,0.5,0.5
"491",0.765625,0.5,0.5
"492",0.778125,0.5,0.5
"493",0.775,0.5,0.5
"494",0.684375,0.5,0.5
"495",0.69375,0.5,0.5
"496",0.384375,0.25,0.25
"497",0.59375,0.5,0.5
"498",0.73125,0.5,0.5
"499",0.734375,0.5,0.5
"500",0.790625,0.5,0.5
"501",0.784375,0.5,0.5
"502",0.49375,0,0
"503",0.734375,0.5,0.5
"504",0.74375,0.5,0.5
"505",0.7375,0.5,0.5
"506",0.74375,0.5,0.5
"507",0.390625,0,0
"508",0.1375,0,0
"509",0.515625,0,0
"510",0.765625,0.5,0.5
"511",0.73125,0.5,0.5
"512",0.15625,0,0
"513",0.01875,0,0
"514",0.075,0,0
"515",0.00625,0,0
"516",0.15625,0,0
"517",0.51875,0,0
"518",0.640625,0.5,0.5
"519",0.671875,0.25,0.25
"520",0.771875,0.5,0.5
"521",0.778125,0.5,0.5
"522",0.75625,0.5,0.5
"523",0.69375,0.5,0.5
"524",0.221875,0,0
"525",0.68125,0.5,0.5
"526",0.771875,0.5,0.5
"527",0.76875,0.5,0.5
"528",0.7625,0.5,0.5
"529",0.771875,0.5,0.5
"530",0.75625,0.5,0.5
"531",0.771875,0.5,0.5
"532",0.615625,0.5,0.5
"533",0.66875,0.5,0.5
"534",0.3375,0,0
"535",0.446875,0,0
"536",0.58125,0.25,0.25
"537",0.034375,0,0
"538",0.053125,0,0
"539",0.33125,0,0
"540",0.259375,0,0
"541",0.521875,0,0
"542",0.35625,0,0
"543",0.11875,0,0
"544",0.075,0,0
"545",0.00625,0,0
"546",0.028125,0,0
"547",0.278125,0,0
"548",0.58125,0,0
"549",0.696875,0.5,0.5
"550",0.503125,0.25,0.25
"551",0.715625,0.5,0.5
"552",0.56875,0.25,0.25
"553",0.234375,0,0
"554",0.540625,0,0
"555",0.690625,0.5,0.5
"556",0.734375,0.5,0.5
"557",0.196875,0,0
"558",0.409375,0,0
"559",0.409375,0,0
"560",0.44375,0,0
"561",0.7625,0.5,0.5
"562",0.390625,0,0
"563",0.34375,0,0
"564",0.271875,0,0
"565",0.11875,0,0
"566",0.5375,0.25,0.25
"567",0.084375,0,0
"568",0.13125,0,0
"569",0.453125,0.25,0.25
"570",0.0875,0,0
