species;scenario;rbf;svm;mda;consensus;wmean_auc;wmean_tss
clssm_mcrp;current;0.8;0.175;0.425;0.46666666666666673;0.40453645833333335;0.3092314583333333
clssm_mcrp;current;0.225;0;0;0.075;0.06578625;0.05094375
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0.775;0.425;0.275;0.4916666666666667;0.42843479166666665;0.32939812500000004
clssm_mcrp;current;0.05;0;0.025;0.025000000000000005;0.02163729166666667;0.016510416666666666
clssm_mcrp;current;0.45;0.325;0.2;0.325;0.28302916666666667;0.21745812500000003
clssm_mcrp;current;0.8;0.775;0.375;0.65;0.5664602083333333;0.43556729166666663
clssm_mcrp;current;0.775;0.775;0.975;0.8416666666666667;0.727585625;0.5544568750000001
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.5;0.575;0.125;0.39999999999999997;0.349910625;0.27017479166666664
clssm_mcrp;current;0.075;0;0.025;0.03333333333333333;0.028946874999999997;0.022170833333333334
clssm_mcrp;current;0.5;0.65;0.05;0.39999999999999997;0.35085125;0.2716954166666667
clssm_mcrp;current;0.525;0.75;0.05;0.44166666666666665;0.3874875;0.3001416666666667
clssm_mcrp;current;0.325;0.4;0.025;0.25000000000000006;0.21934937499999999;0.16991833333333337
clssm_mcrp;current;0.825;1;0.1;0.6416666666666667;0.5625554166666668;0.43541041666666674
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0.7;0.975;0.075;0.5833333333333333;0.5116577083333333;0.39622229166666667
clssm_mcrp;current;0.575;0.825;0.075;0.49166666666666664;0.4311197916666667;0.3337414583333333
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0.175;0.075;0.025;0.09166666666666667;0.08018020833333334;0.061901874999999995
clssm_mcrp;current;0.9;1;0.1;0.6666666666666666;0.5844841666666667;0.45239166666666675
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.9;0.8;1;0.9;0.7784833333333334;0.593645
clssm_mcrp;current;0.925;0.75;0.75;0.8083333333333332;0.7009483333333333;0.5360166666666667
clssm_mcrp;current;0.3;0;0.025;0.10833333333333334;0.09473312499999999;0.07311458333333333
clssm_mcrp;current;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;current;0.85;0.425;0.375;0.5499999999999999;0.47843604166666664;0.36713770833333337
clssm_mcrp;current;0.95;0.95;0.925;0.9416666666666668;0.816038125;0.6235758333333333
clssm_mcrp;current;0.925;0.95;0.95;0.9416666666666668;0.8157466666666666;0.6231050000000001
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.9;0.85;0.975;0.9083333333333333;0.7861285416666667;0.5998483333333334
clssm_mcrp;current;0.85;0.8;0.975;0.875;0.7568460416666666;0.5771345833333333
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.975;1;0.45;0.8083333333333335;0.7046666666666667;0.5420270833333333
clssm_mcrp;current;0.625;0.625;0.05;0.43333333333333335;0.38006749999999995;0.2943010416666667
clssm_mcrp;current;0.95;1;0.55;0.8333333333333334;0.7254295833333334;0.557125
clssm_mcrp;current;0.925;1;0.15;0.6916666666666668;0.60583;0.46843125
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.9;1;0.15;0.6833333333333332;0.5985204166666667;0.46277083333333335
clssm_mcrp;current;0.825;1;0.075;0.6333333333333333;0.5555372916666667;0.43022083333333333
clssm_mcrp;current;0.825;1;0.1;0.6416666666666667;0.5625554166666668;0.43541041666666674
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0.625;0.85;0.025;0.5;0.43903437500000003;0.34037958333333335
clssm_mcrp;current;0.55;0.65;0.025;0.4083333333333334;0.35845229166666664;0.2778266666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.225;0;0.425;0.21666666666666667;0.185094375;0.13916666666666666
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.875;0.425;0.425;0.5750000000000001;0.49978187500000004;0.3831772916666667
clssm_mcrp;current;0.2;0;0.1;0.10000000000000002;0.08654916666666668;0.06604166666666667
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0.925;0.65;0.725;0.7666666666666667;0.6646035416666667;0.5080412500000001
clssm_mcrp;current;0.825;0.4;0.775;0.6666666666666666;0.5760847916666667;0.43881416666666667
clssm_mcrp;current;0;0;0.275;0.09166666666666667;0.077199375;0.05708541666666667
clssm_mcrp;current;0.85;0.7;0.95;0.8333333333333334;0.72050125;0.5491591666666666
clssm_mcrp;current;0.85;0.775;0.975;0.8666666666666667;0.749514375;0.571438125
clssm_mcrp;current;0.95;1;0.975;0.975;0.8447377083333333;0.6453479166666667
clssm_mcrp;current;0.575;0.525;0.75;0.6166666666666667;0.5326291666666667;0.40550270833333335
clssm_mcrp;current;0.975;1;0.95;0.975;0.8450291666666666;0.64581875
clssm_mcrp;current;0.975;1;0.375;0.7833333333333333;0.6836122916666666;0.5264583333333334
clssm_mcrp;current;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;current;0.975;1;0.4;0.7916666666666666;0.6906304166666667;0.5316479166666667
clssm_mcrp;current;0.775;0.825;0.05;0.55;0.48257833333333333;0.37383520833333334
clssm_mcrp;current;0.45;0.6;0.025;0.35833333333333334;0.314550625;0.24379208333333335
clssm_mcrp;current;0.4;0.525;0.025;0.3166666666666667;0.27793645833333336;0.21538187500000003
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.125;0.025;0.025;0.05833333333333333;0.050897708333333326;0.039188125000000004
clssm_mcrp;current;0.675;0.8;0.05;0.5083333333333334;0.44600833333333334;0.34549708333333334
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.45;0;0.325;0.25833333333333336;0.22280812500000002;0.16935208333333332
clssm_mcrp;current;0.95;0.9;0.975;0.9416666666666668;0.8154110416666667;0.6225620833333334
clssm_mcrp;current;0.05;0;0.075;0.041666666666666664;0.03567354166666667;0.02688958333333333
clssm_mcrp;current;0.6;0.05;0.45;0.3666666666666667;0.3164195833333333;0.24065541666666668
clssm_mcrp;current;0.925;0.8;0.75;0.8250000000000001;0.7156116666666666;0.5474095833333333
clssm_mcrp;current;0.925;0.575;0.775;0.7583333333333333;0.6566447916666668;0.5013310416666668
clssm_mcrp;current;0.925;0.875;0.975;0.9249999999999999;0.8007697916666666;0.6112052083333334
clssm_mcrp;current;0.925;0.925;0.975;0.9416666666666668;0.8154331250000001;0.622598125
clssm_mcrp;current;0.925;0.85;0.975;0.9166666666666666;0.7934381249999999;0.60550875
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.2;0;0;0.06666666666666667;0.05847666666666667;0.045283333333333335
clssm_mcrp;current;0.975;1;0.3;0.7583333333333333;0.6625579166666666;0.5108895833333333
clssm_mcrp;current;0.8;0.775;0.025;0.5333333333333333;0.46820645833333335;0.36291312499999995
clssm_mcrp;current;0.975;1;0.3;0.7583333333333333;0.6625579166666666;0.5108895833333333
clssm_mcrp;current;0.125;0;0;0.041666666666666664;0.036547916666666666;0.028302083333333335
clssm_mcrp;current;0.975;1;0.225;0.7333333333333334;0.6415035416666667;0.4953208333333334
clssm_mcrp;current;0.775;0.875;0.025;0.5583333333333332;0.4902235416666667;0.3800385416666667
clssm_mcrp;current;0.225;0.1;0;0.10833333333333334;0.09511291666666666;0.07372958333333333
clssm_mcrp;current;0.1;0.075;0;0.05833333333333333;0.05123333333333333;0.03973104166666667
clssm_mcrp;current;0.25;0.175;0;0.14166666666666666;0.1244175;0.09647937499999999
